,code,short_name,duration,ride
1,Animal Kingdom,Kilimanjaro Safaris,20.0,kilimanjaro_safaris
2,Animal Kingdom,Expedition Everest,4.0,expedition_everest
4,Animal Kingdom,DINOSAUR,3.5,dinosaur
6,Animal Kingdom,Na'vi River,5.0,navi_river
7,Animal Kingdom,Flight of Passage,6.0,flight_of_passage
8,Epcot Center,Spaceship Earth,16.0,spaceship_earth
12,Epcot Center,Soarin',8.0,soarin
20,Hollywood Studios,Slinky Dog,3.0,slinky_dog
21,Hollywood Studios,Alien Saucers,2.5,alien_saucers
26,Hollywood Studios,Rock Coaster,1.5,rock_n_rollercoaster
28,Hollywood Studios,Toy Story Mania!,6.5,toy_story_mania
31,Magic Kingdom,Space Mountain,10.0,space_mountain
32,Magic Kingdom,Buzz Lightyear,4.5,buzz_lightyear
33,Magic Kingdom,Big Thunder Mtn,7.0,big_thunder_mtn
34,Magic Kingdom,Splash Mountain,18.0,splash_mountain
35,Magic Kingdom,Peter Pan's Flight,3.0,peter_pan_s_flight
36,Magic Kingdom,Winnie the Pooh,4.0,winnie_the_pooh
37,Magic Kingdom,Jungle Cruise,8.0,jungle_cruise
38,Magic Kingdom,7 Dwarfs Train,3.0,7_dwarfs_train
39,Magic Kingdom,Under the Sea,7.0,under_the_sea
40,Magic Kingdom,Magic Carpets,1.5,magic_carpets
41,Magic Kingdom,Pirates of Caribbean,7.5,pirates_of_caribbean
42,Magic Kingdom,Princess Hall: Cinderella,10.0,princess_hall__cinderella_elena
43,Magic Kingdom,Princess Hall: Tiana,10.0,princess_hall__rapunzel_tiana
44,Magic Kingdom,Haunted Mansion,10.0,haunted_mansion
45,Magic Kingdom,Regal Carrousel,2.0,regal_carrousel
46,Magic Kingdom,Dumbo,1.5,dumbo
47,Magic Kingdom,it's a small world,14.0,it_s_a_small_world
48,Magic Kingdom,Mad Tea Party,1.5,mad_tea_party
49,Magic Kingdom,PhilharMagic,12.0,philharmagic
50,Magic Kingdom,Barnstormer,2.0,barnstormer
51,Magic Kingdom,Astro Orbiter,1.5,astro_orbiter
52,Magic Kingdom,Laugh Floor,15.0,laugh_floor
53,Magic Kingdom,Tom'land Speedway,4.25,tom_land_speedway
54,Magic Kingdom,PeopleMover,10.0,peoplemover
55,Magic Kingdom,Town Sq Mickey,3.0,town_sq_mickey
