dayofyear,weather_wdwprecip,wdwmintemp,wdwmeantemp,wdwmaxtemp
0,0.12,54.934285714285714,64.50857142857143,74.07714285714285
1,0.12,56.91,65.97500000000001,75.03833333333334
2,0.07,58.723333333333336,66.54833333333333,74.37
3,0.12,55.129999999999995,64.25166666666667,73.37
4,0.12,47.525999999999996,56.286,65.042
5,0.12,48.275,59.04833333333334,69.81666666666666
6,0.12,47.51333333333333,59.166666666666664,70.81833333333333
7,0.08,47.60166666666667,57.044999999999995,66.48166666666667
8,0.11,50.965,60.185,69.4
9,0.08,52.82333333333333,61.546666666666674,70.265
10,0.08,55.093333333333334,64.67666666666666,74.26
11,0.08,57.923333333333325,67.49833333333333,77.06833333333333
12,0.12,56.51500000000001,64.53500000000001,72.55166666666666
13,0.12,52.708333333333336,61.276666666666664,69.84
14,0.08,55.18833333333333,62.57833333333334,69.96666666666667
15,0.07,52.51166666666666,62.26666666666667,72.02
16,0.04,51.096666666666664,61.91833333333333,72.73333333333333
17,0.08,48.92666666666667,59.105,69.27333333333333
18,0.08,49.19,60.195,71.19500000000001
19,0.12,47.09166666666667,58.6,70.10166666666667
20,0.08,48.64166666666667,59.576666666666675,70.51
21,0.08,51.574999999999996,62.35333333333333,73.12666666666667
22,0.08,55.57333333333333,63.95666666666667,72.33333333333333
23,0.07,50.14333333333334,59.971666666666664,69.795
24,0.08,45.65833333333333,56.935,68.205
25,0.08,51.31166666666667,60.915,70.515
26,0.08,53.68,60.370000000000005,67.05499999999999
27,0.08,52.07666666666666,58.52166666666667,64.96333333333332
28,0.08,47.175000000000004,57.185,67.18666666666667
29,0.04,47.653333333333336,56.61166666666667,65.56166666666667
30,0.08,48.05833333333334,58.97,69.875
31,0.04,51.645,62.458333333333336,73.265
32,0.08,55.10166666666667,64.97666666666667,74.85000000000001
33,0.04,54.095,64.00166666666667,73.90333333333334
34,0.04,55.24166666666667,64.86,74.47166666666666
35,0.04,52.678333333333335,62.39666666666667,72.10833333333333
36,0.04,54.19833333333333,65.22,76.24
37,0.03,53.318333333333335,63.84166666666667,74.35833333333333
38,0.08,51.82,63.373333333333335,74.92166666666667
39,0.08,55.67333333333334,64.655,73.63
40,0.12,54.30833333333334,63.43000000000001,72.54833333333333
41,0.08,54.35166666666667,65.94166666666666,77.53
42,0.12,57.63,68.81,79.98666666666666
43,0.12,56.935,65.64166666666667,74.34666666666666
44,0.11,52.17666666666667,62.645,73.10666666666667
45,0.12,56.19833333333333,66.73666666666666,77.26833333333333
46,0.12,56.053333333333335,66.79,77.52
47,0.12,56.300000000000004,67.93,79.55166666666666
48,0.12,57.098333333333336,67.04166666666667,76.98333333333333
49,0.11,58.473333333333336,67.17833333333333,75.88000000000001
50,0.12,57.42666666666667,67.52166666666666,77.61333333333333
51,0.16,56.425000000000004,66.55666666666666,76.68166666666666
52,0.12,58.24666666666667,68.205,78.15666666666667
53,0.12,61.86833333333333,71.01333333333334,80.15666666666667
54,0.11,62.6,71.72333333333334,80.84333333333333
55,0.12,59.52666666666667,68.45333333333333,77.37666666666667
56,0.16,58.17166666666666,67.03666666666668,75.89666666666666
57,0.16,54.324999999999996,63.12,71.91
58,0.15,54.655,64.93166666666666,75.21
59,0.15,59.23333333333333,69.17666666666666,79.11666666666666
60,0.12,58.07,69.40833333333333,80.74
61,0.12,57.324999999999996,68.0,78.67
62,0.11,56.18666666666667,67.65666666666667,79.12333333333333
63,0.12,57.38833333333333,66.86166666666666,76.33333333333333
64,0.16,53.916666666666664,64.49333333333333,75.06833333333333
65,0.16,53.31,63.120000000000005,72.92999999999999
66,0.12,52.24166666666667,62.836666666666666,73.425
67,0.15,54.22833333333333,65.95333333333333,77.67333333333333
68,0.16,58.666666666666664,69.44666666666667,80.22333333333334
69,0.12,62.805,72.95666666666666,83.10833333333333
70,0.16,62.31833333333333,70.39666666666666,78.46833333333333
71,0.07,60.06333333333333,69.02333333333333,77.98
72,0.12,59.67666666666667,69.2,78.72
73,0.12,57.31,67.174,77.036
74,0.12,54.898,66.372,77.84
75,0.16,56.688,67.63,78.566
76,0.11000000000000001,58.64200000000001,69.018,79.384
77,0.12,62.327999999999996,70.84,79.348
78,0.12,61.096000000000004,69.652,78.208
79,0.12,59.034000000000006,68.72200000000001,78.40599999999999
80,0.12,55.284000000000006,65.586,75.882
81,0.12,54.534000000000006,65.51400000000001,76.49
82,0.11000000000000001,56.326,67.576,78.82000000000001
83,0.12,58.827999999999996,70.13199999999999,81.42999999999999
84,0.12,63.001999999999995,72.14399999999999,81.28
85,0.12,62.42999999999999,70.91799999999999,79.402
86,0.12,60.274,69.976,79.674
87,0.07,61.21,70.79400000000001,80.372
88,0.12,60.422000000000004,70.954,81.476
89,0.08,63.44199999999999,72.296,81.144
90,0.12,64.244,73.268,82.286
91,0.12,64.716,74.42999999999999,84.142
92,0.12,65.01,73.1125,81.2075
93,0.07,64.186,73.42999999999999,82.67
94,0.12,64.048,73.68199999999999,83.31
95,0.08,62.779999999999994,73.338,83.888
96,0.08,63.638,72.464,81.288
97,0.08,62.262,71.784,81.3
98,0.08,62.760000000000005,73.55,84.332
99,0.08,63.39,71.75800000000001,80.12
100,0.08,61.589999999999996,71.982,82.37
101,0.03,62.870000000000005,73.20599999999999,83.536
102,0.08,65.348,74.80199999999999,84.25399999999999
103,0.08,67.5275,76.2925,85.05
104,0.04,65.852,74.874,83.89000000000001
105,0.04,63.604,71.814,80.014
106,0.12,62.29600000000001,71.67,81.042
